RecordedDate,Ss: Participant Number (to be filled out by researcher):,interval_1s,Group,Subject,Experience,gender: What is your gender?,age: What is your age (in years)?,Q10: What is the highest level of education you have completed?,cdl: Have you ever had a Commercial Drivers License (CDL) or Professional Equivalent Certification (i.e. special vehicle training)?,cdl_yrs: How long did you have a CDL or Professional Equivalent Certification (in years)?,Q20: Do you have experience driving heavy trucks and/or large vehicles?,Q21: Briefly describe your experience driving heavy trucks and/or large vehicles.,"miles: Over the past five years, what is your average annual mileage (estimate all vehicles combined)?","tickets: In the past year, how many moving or traffic violations have you had?","crashes: In the past year, how many crashes have you been in?",driving_yrs: How many years have you been driving?,total_MMDBQ_score,avg_MMDBQ_score,total_GRiPS_score,avg_GRiPS_score,Q11_1: How often do you do the following while driving... - Attempt to drive away from traffic lights in the wrong gear,Q11_2: How often do you do the following while driving... - Become impatient with a slow driver in the fast lane and pass on the right,Q11_3: How often do you do the following while driving... - Drive especially close to a car in front as a signal to the driver to go faster or get out of the way,Q11_4: How often do you do the following while driving... - Attempt to pass someone that you hadn't noticed to be making a left turn,Q11_5: How often do you do the following while driving... - Forget where you left your car in a parking lot,"Q11_6: How often do you do the following while driving... - Turn on one thing, such as your headlights, when you mean to switch on something else, such as the windshield wipers",Q11_7: How often do you do the following while driving... - Realize that you have no clear recollection of the road along which you have just been traveling,Q11_8: How often do you do the following while driving... - Cross an intersection knowing that the traffic lights have already changed from yellow to red,Q11_9: How often do you do the following while driving... - Fail to notice that pedestrians are crossing when turning onto a side street from a main road,"Q11_10: How often do you do the following while driving... - Angered by another driver's behavior, you catch up to them with the intention of giving him/her ""a piece of your mind""",Q12_1: How strongly do you agree/disagree with the following statements... - Taking risks makes life more fun,Q12_2: How strongly do you agree/disagree with the following statements... - My friends would say that I'm a risk taker,Q12_3: How strongly do you agree/disagree with the following statements... - I enjoy taking risks in most aspects of my life,Q12_4: How strongly do you agree/disagree with the following statements... - I would take a risk even if it meant I might get hurt,Q12_5: How strongly do you agree/disagree with the following statements... - Taking risks is an important part of my life,Q12_6: How strongly do you agree/disagree with the following statements... - I commonly make risky decisions,Q12_7: How strongly do you agree/disagree with the following statements... - I am a believer of taking chances,"Q12_8: How strongly do you agree/disagree with the following statements... - I am attracted, rather than scared, by risk",cyberattack_1: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - The vehicle seemed reliable.,cyberattack_2: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - The vehicle behaved as expected.,cyberattack_3: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - I felt safe.,cyberattack_4: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - I noticed something wrong with the vehicle.,Q22: Briefly describe what you noticed with the vehicle during the drive.,Q11_1_score,Q11_2_score,Q11_3_score,Q11_4_score,Q11_5_score,Q11_6_score,Q11_7_score,Q11_8_score,Q11_9_score,Q11_10_score,Q12_1_score,Q12_2_score,Q12_3_score,Q12_4_score,Q12_5_score,Q12_6_score,Q12_7_score,Q12_8_score,cyberattack_1_score,cyberattack_2_score,cyberattack_3_score,cyberattack_4_score
8/14/2024 16:03,37,0,2,15,Professional,Male,69,College degree,"Yes, and I still do.",44,Yes,Box vans/charter buses,"10,000 to 15,000 miles",1,1,53,16,1.6,11,1.375,Never,Never,Hardly Ever,Never,Hardly Ever,Never,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,1,1,2,1,2,1,2,2,2,2,4,1,1,1,1,1,1,1,5,5,5,1
8/15/2024 14:30,38,0,2,16,Amateur,Male,NA,Some education beyond high school but no degree,"No, never.",NA,No,,"10,000 to 15,000 miles",0,0,5,16,1.6,17,2.125,Never,Occasionally,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,"The vehicle behaved perfectly normally aside from the ""cyber attack"" where all gauges went out",1,3,1,1,3,3,1,1,1,1,3,2,2,4,2,1,2,1,4,3,5,4
7/26/2024 16:30,26,0,3,1,Amateur,Male,25,College degree,"No, never.",NA,Yes,Moving trucks,"less than 5,000 miles",0,0,9,18,1.8,23,2.875,Never,Quite Often,Occasionally,Hardly Ever,Never,Hardly Ever,Hardly Ever,Never,Never,Never,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,No wiper fluid,1,4,3,2,1,2,2,1,1,1,4,3,3,2,2,2,4,3,4,3,4,4
7/29/2024 11:59,27,0,3,2,Amateur,Male,21,Some education beyond high school but no degree,"No, never.",NA,Yes,I have driven a couple of U-hauls for a few hours total but not sure if that counts,"5,000 to 10,000 miles",0,0,7,20,2,15,1.875,Never,Hardly Ever,Hardly Ever,Hardly Ever,Occasionally,Never,Occasionally,Hardly Ever,Hardly Ever,Hardly Ever,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,It seemed like it performed like I expected. Making turns wasn’t as bad I thought.,1,2,2,2,3,1,3,2,2,2,2,1,2,2,1,2,3,2,5,5,4,1
7/29/2024 14:19,28,0,3,3,Amateur,Male,25,College degree,"Yes, but not currently.",1,Yes,10' box truck delivering ice for a summer,"more than 25,000 miles",0,0,8,19,1.9,19,2.375,Never,Occasionally,Occasionally,Never,Never,Hardly Ever,Occasionally,Hardly Ever,Hardly Ever,Never,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Dashboard lights all started going off,1,3,3,1,1,2,3,2,2,1,4,1,1,2,3,1,4,3,5,5,5,5
7/31/2024 12:09,29,0,3,4,Amateur,Male,22,College degree,"No, never.",NA,No,,"5,000 to 10,000 miles",0,0,7,18,1.8,21,2.625,Never,Occasionally,Hardly Ever,Never,Hardly Ever,Hardly Ever,Occasionally,Hardly Ever,Never,Never,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,All the lights started blinking randomly. Luckily the brakes and gas worked so I could pull over safely.,1,3,2,1,2,2,3,2,1,1,4,2,3,2,2,1,4,3,4,2,3,5
8/2/2024 10:50,30,0,3,5,Amateur,Female,20,Some education beyond high school but no degree,"No, never.",NA,Yes,Trucks and 30ft+ trailers ,"10,000 to 15,000 miles",0,0,5,20,2,11,1.375,Never,Occasionally,Never,Never,Occasionally,Hardly Ever,Hardly Ever,Quite Often,Hardly Ever,Never,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,All of the warnings started going off. ,1,3,1,1,3,2,2,4,2,1,2,1,2,1,1,1,2,1,5,5,5,5
8/6/2024 11:12,32,0,3,6,Amateur,Male,22,College degree,"No, never.",NA,No,,"10,000 to 15,000 miles",0,0,2,18,1.8,23,2.875,Hardly Ever,Occasionally,Never,Never,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Never,Hardly Ever,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,The vehicle seems to be shaken a lot during bumpy roads due to no weight in the back which sometimes can be a problem with the steering ,2,3,1,1,2,2,2,2,1,2,1,3,4,3,3,2,4,3,3,4,5,4
8/16/2024 10:24,39,0,3,7,Amateur,Female,24,College degree,"No, never.",NA,Yes,I drove a shuttle bus for about 2 miles around an event center one time,"5,000 to 10,000 miles",0,0,6,20,2,22,2.75,Never,Occasionally,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Hardly Ever,Hardly Ever,Never,Never,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,The cyber attack,1,3,2,3,3,2,2,2,1,1,4,2,3,2,2,2,4,3,4,4,2,4
8/19/2024 12:14,40,0,3,8,Amateur,Male,21,College degree,"No, never.",NA,No,,"more than 25,000 miles",0,0,5,19,1.9,32,4,Never,Never,Hardly Ever,Hardly Ever,Never,Occasionally,Hardly Ever,Hardly Ever,Occasionally,Hardly Ever,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,All of the cluster gages went crazy and I had to pull over,1,1,2,2,1,3,2,2,3,2,4,4,4,4,2,4,5,5,5,5,5,5
8/20/2024 17:05,41,0,3,9,Amateur,Non-binary / third gender,21,Some education beyond high school but no degree,"No, never.",NA,,,"5,000 to 10,000 miles",0,0,5,22,2.2,19,2.375,Never,Quite Often,Hardly Ever,Hardly Ever,Never,Never,Occasionally,Occasionally,Occasionally,Hardly Ever,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,beeping at one point in the drive,1,4,2,2,1,1,3,3,3,2,2,2,2,1,4,2,4,2,4,2,4,4
8/21/2024 11:21,42,0,3,10,Professional,Female,56,College degree,"Yes, and I still do.",34,Yes,"Class A  Combination license driven school bis, tractor trailer and coach bus for many years have liquid endorsement passenger endorsement ","20,000 to 25,000 miles",0,0,39,15,1.5,7,1.4,Hardly Ever,Never,Hardly Ever,Never,Hardly Ever,Never,Hardly Ever,Hardly Ever,Never,Never,,Strongly disagree,Somewhat disagree,Strongly disagree,,Strongly disagree,Somewhat disagree,,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Warning sounds only.  Did not lose control of the vehicle,2,1,2,1,2,1,2,2,1,1,NA,1,2,1,NA,1,2,NA,5,2,5,5
8/21/2024 14:14,43,0,3,11,Professional,Male,65,College degree,"Yes, and I still do.",15,Yes,"Box trucks. Semis, trasit bus, motor coach","more than 25,000 miles",0,0,49,17,1.7,24,3,Hardly Ever,Hardly Ever,Never,Never,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Never,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Stop engine light and alarm went off,2,2,1,1,2,2,2,2,2,1,2,4,4,4,3,2,2,3,4,2,4,5
8/22/2024 17:47,44,0,3,12,Amateur,Male,20,Some education beyond high school but no degree,"No, never.",NA,No,,"5,000 to 10,000 miles",0,0,5,21,2.1,30,3.75,Never,Quite Often,Occasionally,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Never,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,"It was much longer on the rear than initially expected, while being shorter on the front than expected",1,4,3,2,2,2,2,2,2,1,4,4,4,3,4,3,4,4,5,5,4,1
8/23/2024 12:02,45,0,3,13,Professional,Male,26,Some education beyond high school but no degree,"Yes, and I still do.",3,Yes,I drive a fire truck for work,"more than 25,000 miles",0,0,10,18,1.8,32,4,Never,Occasionally,Hardly Ever,Never,Never,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,All of the warning lights turned on and started blinking ,1,3,2,1,1,2,2,2,2,2,4,4,3,4,4,4,5,4,5,5,5,5
8/28/2024 11:16,47,0,3,14,Professional,Male,49,College degree,"Yes, and I still do.",5,Yes,"Fire engines, water tenders, heavy rescue","15,000 to 20,000 miles",0,0,33,19,1.9,29,3.625,Never,Occasionally,Hardly Ever,Never,Hardly Ever,Hardly Ever,Hardly Ever,Occasionally,Hardly Ever,Never,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Acceleration seemed to pan out around 35mph. Other than that it behaved like a water tender we drive in the fire department.,1,3,2,1,2,2,2,3,2,1,4,4,2,4,4,3,4,4,4,5,5,1
8/29/2024 10:31,48,0,3,15,Professional,Male,27,College degree,"Yes, and I still do.",1.25,Yes,"Fire trucks, tractors, and busses ","more than 25,000 miles",1,0,11,19,1.9,14,1.75,Never,Hardly Ever,Never,Hardly Ever,Occasionally,Quite Often,Hardly Ever,Never,Hardly Ever,Never,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Did have a hack variation off of overland but the vehicle was in great condition ,1,2,1,2,3,4,2,1,2,1,2,2,2,2,1,1,3,1,5,5,5,1
8/29/2024 14:17,49,0,3,16,Professional,Male,44,College degree,"No, never.",NA,Yes,Fire engines and ladder trucks regularly for 15 plus years ,"more than 25,000 miles",0,0,29,20,2,22,2.75,Never,Frequently,Occasionally,Never,Never,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Stop engine light came on with an audible warning. ,1,5,3,1,1,2,2,2,2,1,3,3,3,4,1,1,4,3,5,5,5,5
9/3/2024 14:42,50,0,3,17,Professional,Female,26,College degree,"Yes, and I still do.",2,Yes,I work as a city bus operator ,"more than 25,000 miles",0,0,10,17,1.7,12,1.5,Never,Hardly Ever,Never,Never,Occasionally,Hardly Ever,Never,Occasionally,Hardly Ever,Never,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,I noticed no issues,1,2,1,1,3,2,1,3,2,1,2,1,1,2,2,1,2,1,5,5,5,1
